id,quality,description,total_attr_value,total_sum,monster_id,mintmark_class
40385,5,魔龙至尊专属全能刻印,22 19 0 18 16 60,135,2783,
40386,5,苍穹圣虎专属全能刻印,24 22 0 22 18 65,151,2784,
40387,5,斯嘉丽专属全能刻印,0 21 25 21 19 70,156,2787,
40388,5,战神·盖亚专属全能刻印,25 22 0 22 18 68,155,2780,
40389,5,布鲁斯韦恩专属全能刻印,0 22 24 22 18 65,151,2793,
40390,5,神剑·天音专属全能刻印,24 22 0 22 18 65,151,2792,
40391,5,阳•时空S,0 14 22 14 22 50,122,,8
40392,5,阳•魔宗S,0 14 35 20 15 55,139,,8
40393,5,阳•刃舞S,35 20 0 14 15 55,139,,8
40394,5,魔灵仙女专属全能刻印,0 18 20 19 19 60,136,2798,
40395,5,冥翼天魂专属全能刻印,0 20 24 19 16 65,144,2801,
40396,5,冥翼天魂专属全能刻印S,0 20 24 19 16 65,144,2801,
40397,5,帝王之刃专属全能刻印,0 22 24 22 18 65,151,2802,
40398,5,邪眼魔君专属全能刻印,24 22 0 22 18 65,151,2803,
40399,5,帝龙圣尊专属全能刻印,24 23 0 23 19 65,154,2800,
40400,5,地岩熔甲,30 30 0 30 18 70,178,3010,
40401,5,神•圣光天马专属全能刻印,0 23 24 23 19 65,154,2809,
40402,4,乌尔萨专属全能刻印,0 18 0 19 14 60,111,2805,
40403,5,黄金龙鹰专属全能刻印,0 18 20 19 16 60,133,2807,
40404,4,普德斯诺专属全能刻印,0 18 0 19 14 60,111,2814,
40405,5,劳伦斯艾斯专属全能刻印,24 22 0 22 18 65,151,2816,
40406,5,大地之神卡修斯专属全能刻印,25 23 0 23 16 68,155,2817,
40407,4,雷神崛起,0 25 0 25 16 65,131,,9
40408,4,索西斯专属全能刻印,0 18 0 19 14 60,111,2822,
40409,5,赫尔卡专属全能刻印,0 22 24 22 19 65,152,2824,
40410,5,天石灵尊专属全能刻印,20 18 0 18 15 60,131,2821,
40411,5,项羽专属全能刻印,25 23 0 23 17 68,156,2825,
40412,5,罗迪尼奥专属全能刻印,24 22 0 22 18 65,151,2832,
40413,5,夜魔之神布莱克专属全能刻印,25 22 0 22 18 68,155,2833,
40414,5,尤米茜专属全能刻印,0 18 20 18 15 60,131,2831,
40415,5,天绝·狂煞专属全能刻印,24 22 0 22 19 65,152,2834,
40416,4,瑞斯丽娅专属全能刻印,0 18 0 19 14 60,111,2830,
40417,5,天影无名专属全能刻印,0 20 24 19 16 65,144,2840,
40418,5,天影无名专属全能刻印S,0 20 24 19 16 65,144,2840,
40419,5,尤西比奥专属全能刻印,24 22 0 22 18 65,151,2841,
40420,4,加林格尔专属全能刻印,0 18 0 19 14 60,111,2838,
40421,4,圣翼托鲁斯专属全能刻印,0 18 0 19 14 60,111,2839,
40422,5,柯尔德专属全能刻印,25 21 0 21 19 70,156,2844,
40423,5,邪念魔尊专属全能刻印,0 18 20 18 15 60,131,2837,
40424,5,斯蒂丽亚专属全能刻印,0 22 24 22 18 65,151,2851,
40425,5,赤瞳·缪斯专属全能刻印,0 22 25 22 18 68,155,2852,
40426,5,暗翼魔圣专属全能刻印,20 18 0 18 15 60,131,2848,
40427,4,艾斯尼特专属全能刻印,0 18 0 19 14 60,111,2847,
40428,5,苏比萨塔专属全能刻印,0 22 24 22 18 65,151,2850,
40429,5,昊希娜专属全能刻印,0 22 24 22 18 65,151,2849,
40430,5,萨瑞罗斯专属全能刻印,24 22 0 22 18 65,151,2856,
40431,4,暴食龙专属全能刻印,0 18 0 19 14 60,111,2855,
40432,5,达克斯特专属全能刻印,24 22 0 22 18 65,151,2857,
40433,5,奥古斯特专属全能刻印,0 22 24 22 22 65,155,2819,
40434,5,奥古斯特专属全能刻印S,0 22 24 22 22 65,155,2819,
40435,4,冰凰兽专属全能刻印,0 18 0 19 14 60,111,2860,
40436,5,托鲁克尔专属全能刻印,24 23 0 23 16 65,151,2861,
40437,5,焰魂·金斯特专属全能刻印,24 22 0 22 18 65,151,2863,
40438,5,苏希斯专属全能刻印,0 22 24 22 18 65,151,2862,
40439,5,圣光灵皇专属全能刻印,30 23 0 23 23 75,174,2873,
40440,5,赛伯斯塔专属全能刻印,0 22 24 22 18 65,151,2866,
40441,5,雷魂·雷锘专属全能刻印,24 22 0 22 22 65,155,2871,
40442,4,纳瓦雷多专属全能刻印,0 18 0 19 14 60,111,2865,
40443,5,斗魂•拉塞尔专属全能刻印,24 22 0 22 18 65,151,2868,
40444,5,森林弓骑兵专属全能刻印,24 20 0 19 16 65,144,2867,
40445,5,森林弓骑兵专属全能刻印S,24 20 0 19 16 65,144,2867,
40446,5,弗雷姆专属全能刻印,24 22 0 22 18 65,151,2869,
40447,5,阳•利刃S,35 14 0 14 22 55,140,,8
40448,5,谱尼专属全能刻印A,0 23 30 23 23 75,174,300,
40449,5,萨夫特专属全能刻印,24 22 0 22 18 65,151,2877,
40450,5,剑魂•特兰西专属全能刻印,22 23 0 23 19 65,152,2878,
40451,4,镰翼金乌专属全能刻印,0 18 0 19 14 60,111,2876,
40452,5,马尔修斯（毁灭型）专属全能刻印,0 21 30 21 18 70,160,2882,
40453,5,马尔修斯（极速型）专属全能刻印,0 21 25 21 23 70,160,2880,
40454,5,马尔修斯（坚壁型）专属全能刻印,0 24 25 24 18 70,161,2881,
40455,5,阳•时空,0 14 22 14 22 50,122,,8
40456,5,阳•魔宗,0 14 35 20 15 55,139,,8
40457,5,阳•刃舞,35 20 0 14 15 55,139,,8
40458,5,雷神雷伊专属全能刻印,25 22 0 22 18 68,155,2887,
40459,5,德尔波拉专属全能刻印,22 23 0 23 19 65,152,2886,
40460,4,奥忍雷纳专属全能刻印,0 18 0 19 14 60,111,2885,
40461,5,希尔妮妮专属全能刻印,22 23 0 23 19 65,152,2892,
40462,5,凯普斯特专属全能刻印,24 22 0 22 18 65,151,2891,
40463,5,邪皇威斯克专属全能刻印,0 21 26 21 22 65,155,2893,
40464,5,月之女骑士专属全能刻印,20 18 0 18 15 60,131,2901,
40465,5,爆炎莱茵专属全能刻印,22 23 0 23 19 65,152,2899,
40466,6,谱尼专属全能刻印B,20 20 20 20 20 60,160,300,
40467,5,夜魔龙战专属全能刻印,25 22 0 22 18 68,155,2900,
40468,5,英普力亚专属全能刻印,0 22 24 22 18 65,151,2898,
40469,5,亚迪斯专属全能刻印,20 18 0 19 14 60,131,2897,
40470,5,玄幻神武专属全能刻印,20 18 0 19 14 60,131,2904,
40471,5,月光之龙专属全能刻印,0 20 24 19 16 65,144,2908,
40472,5,武极梵天专属全能刻印,25 22 0 22 18 68,155,2911,
40473,5,极天斗皇专属全能刻印,24 22 0 22 18 65,151,2906,
40474,5,傲视战皇专属全能刻印,24 22 0 22 18 65,151,2907,
40475,5,圣魂迈尔斯专属全能刻印,25 22 0 22 18 68,155,2910,
40476,5,九霄雷魂专属全能刻印,22 19 0 19 15 60,135,2905,
40477,5,神耀·齐天S,14 0 27 23 10 70,144,,4
40478,5,神耀·惊天S,14 0 23 18 18 60,133,,4
40479,5,神耀·浑天S,0 14 18 32 15 50,129,,4
40480,5,月光之龙专属全能刻印S,0 20 24 19 16 65,144,2908,
40481,5,玄天影皇专属全能刻印,0 22 24 22 18 65,151,2912,
40482,5,鱼斯拉专属全能刻印,22 19 0 19 16 60,136,2909,
40483,5,绝杀•罗格尔专属全能刻印,22 23 0 23 19 65,152,2915,
40484,5,圣魂奥斯卡专属全能刻印,25 22 0 22 18 68,155,2916,
40485,5,剑神•鲁伊斯专属全能刻印,22 23 0 23 19 65,152,2914,
40486,5,凯撒奥拉夫专属全能刻印,22 23 0 23 19 65,152,2921,
40487,5,神武圣皇专属全能刻印,24 22 0 22 18 65,151,2922,
40488,5,佐伊尔专属全能刻印,25 22 0 22 18 68,155,2923,
40489,5,阳·精卫,10 35 0 35 18 50,148,,8
40490,5,阳·魂卫,0 35 10 35 18 50,148,,8
40491,5,阳·灵犀,0 12 15 12 22 85,146,,8
40492,5,阳·不息,0 12 35 12 18 85,162,,8
40493,5,阳·不朽,35 12 0 12 18 85,162,,8
40494,5,泊莱德专属全能刻印,0 23 22 23 19 65,152,2924,
40495,5,穆恩斯达专属全能刻印,0 23 22 23 19 65,152,2930,
40496,5,妮可萝专属全能刻印,25 22 0 22 18 68,155,2932,
40497,5,光之子·米瑞斯专属全能刻印,0 22 25 22 18 68,155,2939,
40498,5,圣狐永琰专属全能刻印,0 23 22 23 19 65,152,2938,
40499,5,达赫迪专属全能刻印,25 23 0 23 19 65,155,2940,
40500,5,嫉妒之神哲利斯专属全能刻印,25 23 0 23 18 65,154,2946,
40501,5,鬼剑骷髅专属全能刻印,23 23 0 23 18 68,155,2944,
40502,5,史卡夫专属全能刻印,0 19 25 19 16 65,144,2943,
40503,5,史卡夫专属全能刻印S,0 19 25 19 16 65,144,2943,
40504,5,超时空暴龙专属全能刻印,0 19 22 19 16 65,141,2945,
40505,4,帝龙邪尊专属全能刻印,0 18 0 19 14 60,111,2937,
40506,5,庆·战决,36 15 0 15 22 50,138,,10
40507,5,庆·狂天,36 15 0 15 18 85,169,,10
40508,5,庆·锋华,12 36 0 36 18 50,152,,10
40509,5,庆·斗影,0 36 12 36 18 50,152,,10
40510,5,庆·魂祭,0 15 36 15 22 50,138,,10
40511,5,庆·岳尊,0 15 36 15 18 85,169,,10
40512,5,庆·战决天下,38 15 0 15 24 50,142,,11
40513,5,庆·狂天啸日,38 15 0 15 20 85,173,,11
40514,5,庆·锋华无双,15 38 0 38 20 50,161,,11
40515,5,庆·斗影长虹,0 38 15 38 20 50,161,,11
40516,5,庆·魂祭之舞,0 15 38 15 24 50,142,,11
40517,5,庆·岳尊冥灭,0 15 38 15 20 85,173,,11
40518,5,月神·狄安娜专属全能刻印,25 23 0 23 19 65,155,2952,
40519,5,鲁斯王完全体专属全能刻印,23 22 0 22 18 68,153,2947,
40520,5,愤怒之神专属全能刻印,25 23 0 23 18 65,154,2950,
40521,4,冠绝火龙专属全能刻印,0 20 0 20 15 55,110,2949,
40522,5,邪念之神专属全能刻印,0 23 25 23 19 60,150,2957,
40523,5,炽焰金刚完全体专属全能刻印,25 22 0 22 18 65,152,2958,
40524,5,神后·赫拉专属全能刻印,0 23 25 23 19 65,155,2960,
40525,4,冠绝飞龙专属全能刻印,0 20 0 20 16 55,111,2955,
40526,5,弗里德专属全能刻印,25 22 0 22 18 70,157,2959,
40527,5,灾厄王妃潘多拉专属全能刻印,0 21 25 21 19 68,154,2965,
40528,5,女警凯瑟琳专属全能刻印,25 19 0 19 16 65,144,2964,
40529,5,女警凯瑟琳专属全能刻印S,25 19 0 19 16 65,144,2964,
40530,5,睡神·修普诺斯专属全能刻印,0 23 25 23 19 65,155,2970,
40531,5,玄冰之魂专属全能刻印,0 19 22 19 16 60,136,2969,
40532,5,生灵之主·蒙娜丽莎专属全能刻印,0 23 25 23 18 68,157,2966,
40533,5,格拉托尼专属全能刻印,0 23 25 23 19 60,150,2975,
40534,5,天玄界王专属全能刻印,25 22 0 22 18 65,152,2976,
40535,5,神寂·克罗诺斯专属全能刻印,0 21 25 21 19 68,154,2977,
40536,5,瀚海界王专属全能刻印,0 22 25 22 18 65,152,2983,
40537,5,格利德专属全能刻印,25 23 0 23 19 60,150,2979,
40538,5,影魔·卢卡斯专属全能刻印,25 23 0 23 19 65,155,2982,
40539,5,斯洛斯专属全能刻印,0 23 25 23 19 60,150,2990,
40540,5,地葬界王专属全能刻印,0 22 25 22 18 65,152,2991,
40541,5,奇拉美专属全能刻印,0 23 25 23 19 60,150,2986,
40542,5,圣诞神使专属全能刻印,0 23 25 23 19 65,155,2992,
40543,5,海神·波塞冬专属全能刻印,28 23 0 23 19 68,161,2993,
40544,5,落樱飞雪专属全能刻印,0 23 25 23 19 65,155,2995,
40545,5,凡尔斯专属全能刻印,25 21 0 21 23 75,165,2988,
40546,5,重生之翼专属全能刻印,30 25 0 25 22 75,177,2987,
40547,5,千夜死神专属全能刻印,25 23 0 23 19 65,155,2999,
40548,5,圣逍剑影专属全能刻印,25 19 0 19 16 65,144,3000,
40549,5,圣逍剑影专属全能刻印S,25 19 0 19 16 65,144,3000,
40550,5,众神之首·宙斯专属全能刻印,30 23 0 23 20 68,164,3001,
40551,5,真龙·塔西亚专属全能刻印,0 29 25 29 15 65,163,3004,
40552,5,海拉瑞德专属全能刻印,25 23 0 23 19 65,155,3007,
40553,5,混沌界王专属全能刻印,25 22 0 22 18 65,152,3006,
40554,5,无常幽鬼专属全能刻印,0 22 25 22 18 65,152,3005,
40555,5,真龙·塞维尔专属全能刻印,25 23 0 27 18 68,161,3015,
40556,5,时空界王专属全能刻印,0 22 25 22 18 65,152,3013,
40557,5,狂刃血鬼专属全能刻印,25 22 0 22 18 65,152,3012,
40558,5,神佑之翼·炽天使专属全能刻印,0 23 25 23 20 65,156,3014,
40559,5,真龙·塔克林专属全能刻印,25 22 0 22 18 65,152,3017,
40560,5,幻境界王专属全能刻印,0 22 25 22 18 65,152,3026,
40561,5,炽风烈鬼专属全能刻印,25 22 0 22 18 65,152,3025,
40562,5,百鬼夜王专属全能刻印,25 23 0 23 19 65,155,3020,
40563,5,跃乾龙马专属全能刻印,0 23 25 23 20 65,156,3021,
40564,5,帝天战佛专属全能刻印,30 25 0 25 22 75,177,3033,
40565,5,鬼神吕布专属全能刻印,31 22 0 22 20 70,165,3031,
40566,5,神威灵兽专属全能刻印,25 19 0 19 16 65,144,3032,
40567,5,神威灵兽专属全能刻印S,25 19 0 19 16 65,144,3032,
40568,5,克拉德诺专属全能刻印,22 19 0 19 16 60,136,3030,
40569,5,王之哈莫专属全能刻印,28 26 0 26 22 75,177,3022,
40570,5,乔特鲁德专属全能刻印,0 25 30 25 22 75,177,3036,
40571,5,六界神王专属全能刻印,30 24 0 24 20 75,173,3045,
40572,5,利亚苏斯专属全能刻印,0 19 22 19 16 60,136,3042,
40573,5,焱武·圣尊专属全能刻印,25 19 0 19 18 65,146,3043,
40574,5,库贝萨隆专属全能刻印,30 23 0 23 20 70,166,3044,
40575,5,神机诸葛专属全能刻印,0 21 25 21 19 65,151,3048,
40576,5,战龙哈莫专属全能刻印,28 27 0 27 22 73,177,3046,
40577,5,王·萨格罗斯专属全能刻印,31 25 0 25 23 73,177,3054,
40578,5,闭月貂蝉专属全能刻印,25 21 0 21 19 65,151,3051,
40579,5,天刑厄神专属全能刻印,26 22 0 22 19 68,157,3053,
40580,5,云天灵尊专属全能刻印,25 22 0 22 19 65,153,3049,
40581,5,风玄灵尊专属全能刻印,0 22 25 22 19 65,153,3050,
40582,5,圣甲·盖亚专属全能刻印,31 22 0 22 19 68,162,3056,
40583,5,威魄战车专属全能刻印,25 19 0 19 16 65,144,3052,
40584,5,威魄战车专属全能刻印S,25 19 0 19 16 65,144,3052,
40585,5,天弓黄忠专属全能刻印,0 21 25 21 19 65,151,3055,
40586,5,悲鸣神护专属全能刻印,25 19 0 19 18 65,146,3059,
40587,5,盖世张飞专属全能刻印,25 21 0 21 19 65,151,3060,
40588,5,圣甲·卡修斯专属全能刻印,30 22 0 22 19 70,163,3061,
40589,5,末日天卫专属全能刻印,25 19 0 19 18 65,146,3064,
40590,5,鬼焰神君陆逊专属全能刻印,0 21 25 21 19 65,151,3066,
40591,5,圣甲·布莱克专属全能刻印,30 23 0 23 20 70,166,3067,
40592,5,卡迪沃德专属全能刻印,0 19 22 19 16 60,136,3065,
40593,5,漆黑僧正专属全能刻印,0 19 25 19 18 65,146,3071,
40594,5,仁天之君·刘备专属全能刻印,25 21 0 21 19 65,151,3074,
40595,5,圣甲·缪斯专属全能刻印,0 23 30 23 20 70,166,3075,
40596,5,神鹿仙灵专属全能刻印,0 19 25 19 16 65,144,3077,
40597,5,神鹿仙灵专属全能刻印S,0 19 25 19 16 65,144,3077,
40598,5,圣甲·雷伊专属全能刻印,30 23 0 23 20 70,166,3079,
40599,5,米斯蒂克专属全能刻印,0 23 30 23 20 70,166,3082,
40600,5,龙胆·赵云专属全能刻印,30 23 0 23 20 70,166,3078,
40601,5,圣武天尊·关羽专属全能刻印,25 21 0 21 19 65,151,3087,
40602,5,战·肯扎德专属全能刻印,23 18 0 18 15 62,136,3086,
40603,5,利斯塔专属全能刻印,0 19 25 19 18 65,146,3090,
40604,5,寂天魔刹专属全能刻印,30 23 0 23 20 70,166,3088,
40605,5,炼神魔影专属全能刻印,30 23 0 23 20 70,166,3091,
40606,5,锦马超专属全能刻印,25 19 0 19 22 70,155,3092,
40607,5,罗德里特专属全能刻印,0 18 23 18 15 62,136,3093,
40608,5,魔化瑞尔斯专属全能刻印,26 20 0 20 20 65,151,3094,
40609,5,泰坦专属全能刻印,30 23 0 23 20 70,166,2933,
40610,5,四九战王专属全能刻印,23 20 0 20 16 65,144,3099,
40611,5,四九圣尊专属全能刻印,28 22 0 22 21 68,161,3106,
40612,5,毁世魔屠专属全能刻印,28 22 0 22 20 73,165,3096,
40613,5,雷暴·利斯塔专属全能刻印,0 21 28 21 22 70,162,3097,
40614,5,皮特萨拉罗专属全能刻印,0 18 24 18 15 61,136,3098,
40615,5,源力·劫专属全能刻印,32 18 0 18 22 75,165,3100,
40616,5,邪厄魔狂专属全能刻印,25 24 0 24 21 75,169,3108,
40617,5,沧岚专属全能刻印,0 23 30 23 22 75,173,3105,
40618,5,斗天武神·瑞尔斯专属全能刻印,30 25 0 25 23 75,178,3102,
40619,5,格罗姆特专属全能刻印,32 18 0 18 22 75,165,3107,
40620,5,青莲剑神专属全能刻印,28 18 0 18 19 65,148,3103,
40621,5,青莲剑神专属全能刻印S,28 18 0 18 19 65,148,3103,
40622,5,天战·格拉特专属全能刻印,26 21 0 21 20 68,156,3112,
40623,5,梦魔·狄修卡专属全能刻印,25 19 0 19 18 65,146,3113,
40624,5,无上魔尊专属全能刻印,0 21 30 21 23 75,170,3115,
40625,5,班纳尔克专属全能刻印,22 23 0 23 17 71,156,3116,
40626,5,伽罗·八部天龙专属全能刻印,0 20 28 20 20 68,156,3117,
40627,5,索比斯专属全能刻印,0 18 24 18 19 65,144,3118,
40628,5,血魔·泰沃西专属全能刻印,23 19 0 19 21 67,149,3120,
40629,5,夜香刀神专属全能刻印,30 23 0 23 22 72,170,3121,
40630,5,庆·战决天下S,38 15 0 15 24 50,142,,11
40631,5,庆·狂天啸日S,38 15 0 15 20 85,173,,11
40632,5,庆·锋华无双S,15 38 0 38 20 50,161,,11
40633,5,庆·斗影长虹S,0 38 15 38 20 50,161,,11
40634,5,庆·魂祭之舞S,0 15 38 15 24 50,142,,11
40635,5,庆·岳尊冥灭S,0 15 38 15 20 85,173,,11
40636,5,郭嘉专属全能刻印,0 22 25 22 19 68,156,3124,
40637,5,魔龙·加洛斯格专属全能刻印,0 21 22 21 20 66,150,3126,
40638,5,夜翼专属全能刻印,0 19 23 19 21 67,149,3127,
40639,5,太玄·九天圣龙专属全能刻印,28 19 0 19 22 68,156,3128,
40640,5,魔瞳·伊洛维奇专属全能刻印,30 23 0 23 22 73,171,3133,
40641,5,英灵剑圣·兰斯洛特专属全能刻印,31 25 0 25 23 75,179,3134,
40642,5,幽冥邪龙专属全能刻印,26 19 0 19 18 68,150,3135,
40643,5,幽冥邪龙专属全能刻印S,26 19 0 19 18 68,150,3135,
40644,5,维耶扎克专属全能刻印,24 19 0 19 22 65,149,3136,
40645,5,圣仁之瞳·天蛇太祖专属全能刻印,0 22 30 22 23 73,170,3140,
40646,5,火之狂野,50 35 0 35 20 80,220,,12
40647,5,海之浩瀚,0 24 50 24 27 95,220,,12
40648,5,光之辉煌,0 31 55 31 23 80,220,,12
40649,5,风之轻灵,45 25 0 25 35 90,220,,12
40650,5,冰之严寒,55 24 0 24 22 95,220,,12
40651,5,龙之狂猛,0 35 35 35 25 90,220,,12
40652,5,秘之无踪,0 21 50 21 28 100,220,,12
40653,5,空之轨迹,55 31 0 31 18 85,220,,12
40654,5,八骏神驹专属全能刻印,0 20 25 20 22 65,152,3137,
40655,5,陌羽飞月专属全能刻印,26 22 0 22 21 66,157,3139,
40656,5,深渊狱神·哈迪斯专属全能刻印,0 23 32 23 23 75,176,3141,
40657,5,王·雷伊专属全能刻印,32 25 0 25 24 74,180,3142,
40658,5,克拉罗专属全能刻印,25 19 0 19 20 65,148,3144,
40659,5,曹操专属全能刻印,30 24 0 24 23 75,176,3145,
40660,5,绯云专属全能刻印,0 18 22 18 22 68,148,3146,
40661,5,神翼·波斯蒂加专属全能刻印,25 21 0 21 23 65,155,3147,
40662,5,格劳瑞专属全能刻印,30 23 0 23 24 72,172,3150,
40663,5,库拉里尔专属全能刻印,22 18 0 18 19 60,137,3151,
40664,5,冥王·鬼夜斩专属全能刻印,25 19 0 19 23 65,151,3152,
40665,5,千魔煞星专属全能刻印,22 19 0 19 18 63,141,3153,
40666,5,斯塔奥专属全能刻印,22 19 0 19 21 65,146,3154,
40667,5,骸烬箭灵专属全能刻印,0 19 25 19 20 66,149,3155,
40668,5,骸烬箭灵专属全能刻印S,0 19 25 19 20 66,149,3155,
40669,5,路希菲尔德专属全能刻印,0 19 22 19 21 62,143,3156,
40670,5,冥王·裂空破专属全能刻印,23 18 0 18 24 65,148,3157,
40671,5,踏云乌骓专属全能刻印,24 19 0 19 24 62,148,3161,
40672,5,天邪龙皇专属全能刻印,35 24 0 24 24 75,182,3162,
40673,5,霸王项羽专属全能刻印,30 24 0 24 23 73,174,3164,
40674,5,贝希摩斯专属全能刻印,22 19 0 19 21 62,143,3165,
40675,5,不死·烈羽专属全能刻印,0 19 22 19 21 65,146,3167,
40676,5,冥王·灭天截专属全能刻印,25 19 0 19 23 65,151,3168,
40677,5,王·卡修斯专属全能刻印,32 25 0 25 23 75,180,3170,
40678,5,银月狼王专属全能刻印,28 22 0 22 23 68,163,3171,
40679,5,莱茵哈特专属全能刻印,28 25 0 25 22 75,175,3174,
40680,5,冥王·皎月牙专属全能刻印,25 20 0 20 23 63,151,3175,
40681,4,魔齿鲨专属全能刻印,0 20 0 20 20 58,118,3176,
40682,5,撒丹尼兹专属全能刻印,28 22 0 22 22 68,162,3177,
40683,5,虞姬专属全能刻印,0 21 28 21 23 68,161,3178,
40684,4,黑炎贝鲁专属全能刻印,0 21 0 21 19 58,119,3179,
40685,5,夜魔龙战专属全能刻印升级版,28 23 0 23 22 70,166,2900,
40686,5,冥皇·修罗专属全能刻印,35 23 0 23 24 75,180,3183,
40687,5,圣谕天骑专属全能刻印,30 21 0 21 24 70,166,3184,
40688,5,魔化克雷尔专属全能刻印,30 20 0 20 23 70,163,3185,
40689,5,水中灵专属全能刻印,0 18 25 18 20 68,149,3189,
40690,5,水中灵专属全能刻印S,0 18 25 18 20 68,149,3189,
40691,5,王·布莱克专属全能刻印,30 25 0 25 24 75,179,3190,
40692,5,天香小乔专属全能刻印,0 21 26 21 24 70,162,3192,
40693,5,钢之狂威,0 25 50 25 30 90,220,,12
40694,5,钢之不摧,0 35 40 35 25 90,225,,12
40695,5,钢之云霄,0 25 50 25 35 85,220,,12
40696,5,昊希莉娜专属全能刻印,0 22 26 22 23 70,163,3193,
40697,5,魔王咤克斯专属全能刻印,0 25 32 25 24 73,179,3194,
40698,4,霜焱兽王专属全能刻印,0 23 0 23 20 59,125,3195,
40699,5,白炎专属全能刻印,30 25 0 25 24 75,179,3196,
40700,5,永恒圣拳专属全能刻印,30 24 0 24 23 73,174,3197,
40701,5,霍德尔专属全能刻印,0 23 30 23 23 75,174,3200,
40702,5,凛锋剑豪专属全能刻印,28 19 0 19 21 68,155,3201,
40703,5,霜焱主宰专属全能刻印,24 22 0 22 23 68,159,3203,
40704,5,苏亚希斯专属全能刻印,0 23 24 23 23 70,163,3204,
40705,5,莫戈尔专属全能刻印,24 25 0 25 21 68,163,3186,
40706,5,素白清风,0 18 22 18 20 68,146,,13
40707,5,靛青罗刹,0 20 22 20 21 65,148,,13
40708,5,玄黑混元,18 18 0 18 18 75,147,,13
40709,5,怒炎赤火,23 25 0 25 20 60,153,,13
40710,5,盏金轩辕,25 20 0 20 18 68,151,,13
40711,5,征战之天威,0 26 40 26 29 80,201,,14
40712,5,征战之断钢,53 25 0 25 25 76,204,,14
40713,5,征战之意志,40 27 0 27 23 96,213,,14
40714,5,征战之奥法,0 25 53 25 25 76,204,,14
40715,5,征战之神盾,27 37 0 37 24 85,210,,14
40716,5,达克赛德专属全能刻印,28 23 0 23 23 68,165,3207,
40717,5,王·缪斯专属全能刻印,0 25 32 25 24 73,179,3205,
40718,5,黑翼游侠专属全能刻印,25 23 0 23 22 68,161,3208,
40719,5,金笔书圣专属全能刻印,25 22 0 22 23 68,160,3209,
40720,5,海瑟薇专属全能刻印,0 23 32 23 24 73,175,3211,
40721,5,霜焱专属全能刻印,28 22 0 22 23 68,163,3212,
40722,5,弗雷萨姆专属全能刻印,26 22 0 22 23 70,163,3213,
40723,5,萨夫特雷专属全能刻印,28 23 0 23 22 70,166,3216,
40724,5,邪冥·兽皇专属全能刻印,32 25 0 25 22 75,179,3217,
40725,5,星灵圣王专属全能刻印,0 22 32 22 24 73,173,3220,
40726,5,炙凤凯皇专属全能刻印,0 22 28 22 24 68,164,3218,
40727,5,铸炼师专属全能刻印,24 18 0 18 20 69,149,3219,
40728,5,铸炼师专属全能刻印S,24 18 0 18 20 69,149,3219,
40729,5,四九圣尊特训全能刻印,32 24 0 24 24 75,179,3221,
40730,5,炫羽专属全能刻印,0 18 23 18 22 67,148,3222,
40731,5,万古邪皇·威斯克专属全能刻印,0 25 32 25 24 73,179,3214,
40732,5,暗武逆战·艾辛格斯专属全能刻印,32 25 0 25 24 73,179,3224,
40733,5,弑焱天魂专属全能刻印,28 22 0 22 24 68,164,3225,
40734,5,古焰专属全能刻印,0 25 32 25 24 73,179,3226,
40735,5,月之子·奇拉美专属全能刻印,0 24 25 24 20 68,161,3227,
40736,5,阿尔斯兰专属全能刻印,32 24 0 24 24 73,177,3223,
40737,5,风翼飞镰专属全能刻印,32 25 0 25 24 73,179,3234,
40738,5,兰利斯特专属全能刻印,22 19 0 19 16 60,136,3235,
40739,5,塞纳留斯专属全能刻印,0 24 23 24 20 68,159,3236,
40740,5,大威势明王专属全能刻印,30 25 0 25 24 75,179,3237,
40741,5,炽骸剑魔专属全能刻印,28 22 0 22 24 68,164,3238,
40742,5,神圣龙鹰专属全能刻印,0 22 28 22 24 68,164,3239,
40743,5,邪灵王·摩哥斯专属全能刻印,0 25 32 25 24 73,179,3240,
40744,5,裴罗专属全能刻印,28 18 0 18 22 65,151,3241,
40745,5,王·盖亚专属全能刻印,32 24 0 24 24 75,179,3242,
40746,5,妖王·阿米尔专属全能刻印,0 22 28 22 24 65,161,3243,
40747,5,雷之霆威,53 28 0 28 35 93,237,,12
40748,5,战之圣勇,60 28 0 28 28 93,237,,12
40749,5,瞳之炽烈,0 28 60 28 33 88,237,,12
40750,5,夜之永恒,48 28 0 30 38 93,237,,12
40751,5,地之无尽,43 35 0 33 28 98,237,,12
40752,5,难之皇怒,45 25 0 25 30 95,220,,62
40753,5,命之无常,50 27 0 27 30 86,220,,62
40754,5,违之梦魇,0 25 55 25 35 80,220,,62
40755,5,世之戾决,45 30 0 30 20 95,220,,62
40756,5,道之邪锋,0 25 55 25 25 90,220,,62
40757,5,圣·虚无,55 25 0 25 35 90,230,,16
40758,5,圣·元素,55 30 0 30 30 85,230,,16
40759,5,圣·能量,0 25 50 25 35 95,230,,16
40760,5,圣·生命,45 30 0 30 30 95,230,,16
40761,5,圣·轮回,0 35 40 35 30 90,230,,16
40762,5,圣·永恒,0 30 55 30 25 90,230,,16
40763,5,圣·圣洁,0 25 55 25 30 95,230,,16
40764,5,裴罗专属全能刻印,28 18 0 18 22 65,151,3241,
40765,5,征战之天威S,0 26 40 26 29 80,201,,14
40766,5,征战之断钢S,53 25 0 25 25 76,204,,14
